event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.014767871272833,0.0257577180797832,0.0257577180797832,1.0
13353600,0.710950883130787,0.9470300916004434,0.9883755418197996,1.0
13942327,0.0146385945483643,0.0254675654196818,0.0254675654196818,1.0
16112781,0.6686643987987916,0.9307856332979444,0.9838098895834088,1.0
17132808,0.0190472907861463,0.0335847624018322,0.0335847624018322,1.0
17445696,0.0132444559213752,0.0227703893780132,0.0227703893780132,1.0
17599982,0.014265216329531,0.0247199547299815,0.0247199547299815,1.0
18750374,0.4543204545195073,0.7504795460356795,0.9251118786060144,1.0
21365245,0.0135011709170982,0.0232850353693677,0.0232850353693677,1.0
23634840,0.4644996807160403,0.7781721291032317,0.9314312762879458,1.0
24461897,0.0156057191605756,0.0272935748297678,0.027403305080052,1.0
25353357,0.0135792869259184,0.0234724893469169,0.0234724893469169,1.0
27052376,0.9952675203591428,0.9983529213638924,0.9983529213638924,1.0
29312582,0.0139313773748138,0.0240685010156947,0.0240685010156947,1.0
30451420,0.0130109676265015,0.0219522817947956,0.0233006971379771,1.0
31488932,0.0145938345901902,0.025384183900511,0.025384183900511,1.0
33717208,0.0141934680231368,0.0245557400377568,0.0245557400377568,1.0
34826241,0.0147127777678132,0.0255767999849989,0.0255767999849989,1.0
35311039,0.99640766828118,0.9993095144653324,0.9993095144653324,1.0
36423390,0.0158515469376245,0.0277802167179944,0.0277802167179944,1.0
37196135,0.6634461716088017,0.9266119686950588,0.9740293292101312,1.0
37355453,0.0126450612899375,0.0216037672668927,0.0216037672668927,1.0
37536067,0.6804767917725473,0.9366848059334432,0.9823172980323052,1.0
39717591,0.0135153922593187,0.0233277460928009,0.0233277460928009,1.0
40833127,0.0140769950914247,0.0243640426456666,0.0243640426456666,1.0
41907240,0.7717302277931594,0.9648852597299228,0.9897919807310712,1.0
42963675,0.0127812524307743,0.0218852052498081,0.0218852052498081,1.0
42997746,0.0180775595055839,0.0316631212346771,0.0316631212346771,1.0
43341281,0.013436464599034,0.0230531584547628,0.0230531584547628,1.0
43371713,0.3457578077984862,0.636251323842597,0.8788582161530392,1.0
44872967,0.396793936208922,0.7076263760941794,0.8156317943395448,1.0
46574754,0.4562100389744276,0.775456101887417,0.935137820642866,1.0
46767506,0.6245183859257741,0.9059070780643989,0.9686767215105504,1.0
49169401,0.0123360816976985,0.0209865649427012,0.0209865649427012,1.0
49502022,0.0141086601211794,0.0244314713442436,0.0244314713442436,1.0
49565135,0.9856792710720732,0.9989470717808256,0.9989470717808256,1.0
50233410,0.6561981923669687,0.9155971264441338,0.9801224259106448,1.0
50541231,0.017179987647232,0.0304575166072938,0.0304575166072938,1.0
51664538,0.0132571243724043,0.0228028793745037,0.0228028793745037,1.0
52004768,0.0139012335089746,0.0240318560113044,0.0240318560113044,1.0
52039660,0.0137861308341074,0.023807864080161,0.023807864080161,1.0
52614032,0.0144414944655651,0.0250406531993469,0.0250406531993469,1.0
53407288,0.0142050017078887,0.0245930642290604,0.0245930642290604,1.0
53799231,0.0153887594909371,0.0269281282812532,0.0269281282812532,1.0
54348573,0.0137954481774724,0.023772952659087,0.023772952659087,1.0
54459140,0.0124798846544508,0.020958844650245,0.022515496276394,1.0
54759639,0.0125643324779949,0.0211135961497197,0.0226356367107042,1.0
54801108,0.9023356940098566,0.9939071945607356,0.9981454973736326,1.0
55504460,0.7330878901432344,0.9585810661851534,0.989538955080378,1.0
58802003,0.0170757937521225,0.0301596347645337,0.0301596347645337,1.0
58854430,0.0177337783444484,0.0310633821639023,0.0310633821639023,1.0
59191113,0.0150123184289248,0.0261916879718749,0.0261916879718749,1.0
59221605,0.5416023254349716,0.8479920025939794,0.9560899694144503,1.0
60804856,0.9690399284542076,0.997413790049605,0.997413790049605,1.0
61713947,0.0130232446520594,0.0223011145029099,0.0223011145029099,1.0
62129708,0.8428254212894384,0.980995077379782,0.995096017060779,1.0
66849621,0.937378732932734,0.9858922875559436,0.9915437719583228,1.0
67124529,0.0135977971502107,0.0234601464239552,0.0234601464239552,1.0
69348035,0.0143775853719261,0.0249112566055283,0.0249112566055283,1.0
69572379,0.0152532573272694,0.0266589923160882,0.0266589923160882,1.0
69836438,0.0130594395762706,0.0224348211454783,0.0224348211454783,1.0
70283101,0.462868846989145,0.7598668879434145,0.8883704263192866,1.0
70501603,0.498390125843713,0.8071014631436687,0.9367353131474356,1.0
70993222,0.0132718313362427,0.0228399500602513,0.0228399500602513,1.0
71474230,0.4212112091225278,0.7372665925470426,0.9169316986269258,1.0
71532972,0.0202904021109199,0.0358336604838771,0.0358336604838771,1.0
72973561,0.0124249479721812,0.0208530052911198,0.022405370722943,1.0
73023698,0.0139306257662627,0.0240701832262037,0.0240701832262037,1.0
74751606,0.0138169917349516,0.0238308509667595,0.0238308509667595,1.0
74945408,0.3280904343365632,0.6072192653528928,0.8532578898548275,1.0
75012237,0.8024556386837084,0.9742568210217226,0.992415838339173,1.0
75726601,0.0137278110980866,0.0237466909228812,0.0237466909228812,1.0
78173856,0.0115259374674798,0.0194197261436272,0.0194197261436272,1.0
78227688,0.0128744980890172,0.021695375319492,0.0230552172605914,1.0
78266693,0.0135668835782312,0.0233166429153195,0.0233166429153195,1.0
78502343,0.014628846844073,0.0254152500734031,0.0254152500734031,1.0
78780565,0.0132490861354932,0.0228015847060489,0.0228015847060489,1.0
80446138,0.0153364668973382,0.0268184652566385,0.0268184652566385,1.0
80819726,0.0118711456479626,0.0200795867715998,0.0200795867715998,1.0
81010506,0.0133338821040842,0.0228683976733004,0.0228683976733004,1.0
81611002,0.0135182454956235,0.0232813592184717,0.0232813592184717,1.0
81715663,0.48750560487936,0.8021732240584275,0.944768640382085,1.0
82779392,0.0133472198102205,0.023020875388113,0.023020875388113,1.0
83261710,0.0134623030602275,0.0231127172209402,0.0231127172209402,1.0
84903193,0.0148514797908619,0.0258258024992259,0.0258258024992259,1.0
87245976,0.0139629430094615,0.0241906521833506,0.0241906521833506,1.0
87273546,0.0208907102262832,0.0372299977847928,0.0372299977847928,1.0
89909836,0.0140567573498199,0.0244015551405336,0.0244015551405336,1.0
91234126,0.0242726592038298,0.0438021830607263,0.0438021830607263,1.0
93027270,0.5608360152402815,0.865785049372014,0.9661918022630508,1.0
94627327,0.0171066333853883,0.030396350666178,0.030396350666178,1.0
96570675,0.0139803441505975,0.0241583371491717,0.0241583371491717,1.0
97225766,0.0134947677476838,0.023292697070104,0.023292697070104,1.0
98446281,0.0176495351705746,0.0312740862716254,0.0312740862716254,1.0
99649465,0.0144863591175302,0.0251363016434108,0.0251363016434108,1.0
